Title,Year,Genre,Name
The Discreet Charm of the Bourgeoisie,1972,Comedy,Luis Bu��uel
The War of the Roses,1989,Comedy,Danny DeVito
Erotissimo,1969,Comedy,G��rard Pir��s
Reckless Kelly,1993,Comedy,Yahoo Serious
Mr. Accident,2000,Comedy,Yahoo Serious
An Alan Smithee Film: Burn Hollywood Burn,1997,Comedy,Alan Smithee
Airplane!,1980,Comedy,Jim Abrahams
Zuckerbaby,1985,Comedy,Percy Adlon
Rosalie Goes Shopping,1989,Comedy,Percy Adlon
Blue in the Face,1995,Comedy,Paul Auster
Dona Flor and Her Two Husbands,1976,Comedy,Bruno Barreto
Ferris Bueller's Day Off,1986,Comedy,John Hughes
"Planes, Trains & Automobiles",1987,Comedy,John Hughes
Up!,1976,Comedy,Russ Meyer
Beneath the Valley of the Ultra-Vixens,1979,Comedy,Russ Meyer
The Party,1968,Comedy,Blake Edwards
In God We Trust (or Gimme That Prime Time Religion),1980,Comedy,Marty Feldman
Best in Show,2000,Comedy,Christopher Guest
Life of Brian,1979,Comedy,Terry Jones
P.O. Box Tinto Brass,1995,Comedy,Tinto Brass
Kokow����h,2011,Comedy,Til Schweiger
Ace Ventura: Pet Detective,1994,Comedy,Tom Shadyac
Zoolander,2001,Comedy,Ben Stiller
Zoolander 2,2016,Comedy,Ben Stiller
Fading Gigolo,2013,Comedy,John Turturro
Airplane!,1980,Comedy,David Zucker
French Twist,1995,Comedy,Josiane Balasko
The Bellboy,1960,Comedy,Jerry Lewis
Strange Brew,1983,Comedy,Rick Moranis
The Birdcage,1996,Comedy,Mike Nichols
Watch It,1993,Comedy,Tom Flynn
Tu ten k��men,1923,Comedy,Karl Anton
No More Excuses,1968,Comedy,Robert Downey Sr.
Putney Swope,1969,Comedy,Robert Downey Sr.
Look Who's Talking,1989,Comedy,Amy Heckerling
Beer Chase,1977,Comedy,Herbert Achternbusch
Brokiga blad,1931,Comedy,Edvin Adolphson
Plucking the Daisy,1956,Comedy,Marc All��gret
Il ragazzo del pony express,1986,Comedy,Franco Amurri
An Italian Name,2015,Comedy,Francesca Archibugi
The Diamond Peddlers,1976,Comedy,Giuliano Carnimeo
Four Bags Full,1956,Comedy,Claude Autant-Lara
Where the Boys Are,1984,Comedy,Hy Averback
Very Happy Alexander,1968,Comedy,Yves Robert
Los chicos del Preu,1967,Comedy,Pedro Lazaga
It's Pat: The Movie,1994,Comedy,Adam Bernstein
Private Lessons,1981,Comedy,Alan Myerson
The Debtors,1999,Comedy,Evi Quaid
Lutine,2016,Comedy,Isabelle Brou��
"Bob, James Bob",1998,Comedy,Richard E. Doherty
The Happy Hooker Goes Hollywood,1980,Comedy,Alan Roberts
The Switch,1999,Comedy,Tucker Dansie
"Love, Marriage & Tupperware",1999,Comedy,Tucker Dansie
Una famiglia perfetta,2012,Comedy,Paolo Genovese
The Immature,2011,Comedy,Paolo Genovese
Tutta colpa di Freud,2014,Comedy,Paolo Genovese
Girls Trip,2017,Comedy,Malcolm D. Lee
Umorismo in nero,1965,Comedy,Giancarlo Zagni
Moving August,2002,Comedy,Christopher Fink
The Happys,2016,Comedy,John Serpe
The Flag,2016,Comedy,Declan Recks
Hanging in Hedo,2008,Comedy,Gregg Cannizzaro
Get a Job,1998,Comedy,Gregg Cannizzaro
The Flirting Club,2010,Comedy,Alexander Jovy
Dead Tired,1994,Comedy,Michel Blanc
Eat Me!,2000,Comedy,Joe Talbott
Special Mike & Honey Girl,2001,Comedy,Joe Talbott
100 metri dal paradiso,2012,Comedy,Raffaele Verzillo
Getting It On,1983,Comedy,William Olsen
Jay and Silent Bob Strike Back,2001,Comedy,Kevin Smith
Clerks,1994,Comedy,Kevin Smith
Calling Bobcat,2000,Comedy,Paul Kermizian
Apr��s-ski,1971,Comedy,Roger Cardinal
500!,2001,Comedy,Giovanni Robbiano
Jordon Saffron: Taste This!,2009,Comedy,Sergio Myers
Papeles son papeles,1966,Comedy,Fausto Canel
Chica de R��o,2001,Comedy,Christopher Monger
Waiting for the Light,1990,Comedy,Christopher Monger
Ein kurzer beschissener Abend,1995,Comedy,Tim Trageser
Playing Mona Lisa,2000,Comedy,Matthew Huffman
Tyrone,1999,Comedy,Erik Fleming
The Acting Class,2000,Comedy,Elizabeth Holder
Acorazado,2010,Comedy,��lvaro Curiel
The Fall of Rock & Roll,1989,Comedy,Goran Gajic
Push and Pull,2003,Comedy,P��ter Pal��tsik
Playtime,1967,Comedy,Jacques Tati
Monsieur Hulot's Holiday,1953,Comedy,Jacques Tati
Mon Oncle,1958,Comedy,Jacques Tati
The People I've Slept With,2012,Comedy,Quentin Lee
Stregati dalla luna,2001,Comedy,Pino Ammendola
Cappuccino,1989,Comedy,Antony J. Bowman
Blackmail,2017,Comedy,Antony J. Bowman
Laughing Boy,2000,Comedy,Joe Grisaffi
American Detective,1999,Comedy,Dan Brown
"The Butcher, the Star and the Orphan",1975,Comedy,J��r��me Savary
The Daughter of the Railroad Crossing Guard,1975,Comedy,J��r��me Savary
Mon poussin,2017,Comedy,Fr��d��ric Forestier
A Little Stiff,1991,Comedy,Caveh Zahedi
Ch��que au porteur,1941,Comedy,Jean Boyer
Athili Sathibabu LKG,2007,Comedy,Satyanarayana E.V.V.
Jamba Lakidi Pamba,1993,Comedy,Satyanarayana E.V.V.
Cold Turkey,1971,Comedy,Norman Lear
Down and Out in Beverly Hills,1986,Comedy,Paul Mazursky
Columbus Discovers Kraehwinkel,1954,Comedy,Alexander Paal
The Jerk,1979,Comedy,Carl Reiner
Teresa the Thief,1973,Comedy,Carlo Di Palma
Beby y su circo,1915,Comedy,Fructu��s Gelabert
Ladies Who Do,1963,Comedy,C.M. Pennington-Richards
Double Bunk,1961,Comedy,C.M. Pennington-Richards
Otto - Der Neue Film,1987,Comedy,Xaver Schwarzenberger
Save Angel Hope,2007,Comedy,Lukas Erni
Last Resort,1986,Comedy,Zane Buzby
Ape of Wrath,\N,Comedy,Wonsuk Chin
Social Guidance,2005,Comedy,Noah Kadner
Staten Island,2007,Comedy,Aditya Chandora
Maxie,1985,Comedy,Paul Aaron
Lo mejor de cada casa (una semana en el parque),2000,Comedy,Toni Abad
Ellas y ellos,1923,Comedy,Baltasar Abadal
Some Like It Veiled,2017,Comedy,Sou Abadi
U tikhoi pristani,1958,Comedy,Eduard Abalov
Instant Mommy,2013,Comedy,Leo Abaya
Near Myth: The Oskar Knight Story,2018,Comedy,Scott Fivelson
Saradha Saradhaga,2006,Comedy,S.V. Krishna Reddy
Fist Fight,2017,Comedy,Richie Keen
Our Italian Husband,2004,Comedy,Ilaria Borrelli
My Thirteenth Wife,1962,Comedy,Fatin Abdel Wahab
Muslimah's Guide to Marriage,2016,Comedy,Aminah Abdul-Jabbaar
Is There Sex After Death?,1971,Comedy,Alan Abel
The Faking of the President,1976,Comedy,Alan Abel
L'iceberg,2005,Comedy,Dominique Abel
Lost in Paris,2016,Comedy,Dominique Abel
Rumba,2008,Comedy,Dominique Abel
The Faking of the President,1976,Comedy,Jeanne Abel
Is There Sex After Death?,1971,Comedy,Jeanne Abel
Ashi ni sawatta onna,1926,Comedy,Yutaka Abe
Home Talent,1921,Comedy,James E. Abbe
The Last of the Secret Agents?,1966,Comedy,Norman Abbott
Ringmaster,1998,Comedy,Neil Abramson
Spivak,2018,Comedy,Anthony Abrams
How Are You? Well?,1969,Comedy,Carlos Alberto Abreu
Pathos,1997,Comedy,Kevin Abosch
Khali min al colestrol,2004,Comedy,Mohamed Abou-Seif
Les femmes sont des anges,1952,Comedy,Marcel Aboulker
En correctionnelle,1939,Comedy,Marcel Aboulker
Les aventures des Pieds-Nickel��s,1948,Comedy,Marcel Aboulker
"Contigo no, bicho",2018,Comedy,��lvaro Alonso
L'enfant du Danube,1936,Comedy,Andr�� Alexandre
The Ugly Story,1966,Comedy,Aleksandr Alov
Hosg��r bosver aldirma,1953,Comedy,Zeki Alpan
O scrisoare pierduta,1954,Comedy,Sica Alexandrescu
